True Class,Predicted Class,Count,Error Rate
yeo,eo,87,0.20714285714285716
i,eo,68,0.1619047619047619
ji,gi,52,0.12380952380952381
deul,reul,45,0.10714285714285714
jeong,gyeong,44,0.10476190476190476
si,seo,43,0.10238095238095238
seo,si,42,0.1
eo,yeo,42,0.1
eo,i,39,0.09285714285714286
geu,eu,37,0.0880952380952381
in,il,37,0.0880952380952381
seu,so,36,0.08571428571428572
so,seu,36,0.08571428571428572
yeon,in,35,0.08333333333333333
e,eo,32,0.0761904761904762
in,yeon,29,0.06904761904761905
jeong,jeok,29,0.06904761904761905
i,e,28,0.06666666666666667
neun,eun,28,0.06666666666666667
eui,i,27,0.06428571428571428
je,gye,26,0.06190476190476191
yeo,i,26,0.06190476190476191
gong,yong,25,0.05952380952380952
sa,si,25,0.05952380952380952
ra,gwa,25,0.05952380952380952
il,in,24,0.05714285714285714
i,yeo,24,0.05714285714285714
eo,e,24,0.05714285714285714
gong,dong,24,0.05714285714285714
yeo,e,23,0.05476190476190476
ja,ji,23,0.05476190476190476
go,geu,23,0.05476190476190476
ro,do,23,0.05476190476190476
ji,gye,21,0.05
ha,hae,21,0.05
jeong,jeon,21,0.05
ra,da,20,0.047619047619047616
e,yeo,20,0.047619047619047616
yong,eun,19,0.04523809523809524
eul,reul,19,0.04523809523809524
eun,yong,19,0.04523809523809524
go,do,19,0.04523809523809524
na,a,19,0.04523809523809524
i,eui,19,0.04523809523809524
yong,gong,19,0.04523809523809524
da,a,18,0.04285714285714286
gyeong,gim,18,0.04285714285714286
sa,seo,18,0.04285714285714286
ro,reul,17,0.04047619047619048
seong,sang,17,0.04047619047619048
ji,je,16,0.0380952380952381
reul,deul,16,0.0380952380952381
jo,do,16,0.0380952380952381
gye,je,16,0.0380952380952381
eun,neun,16,0.0380952380952381
gu,geu,16,0.0380952380952381
wi,eui,16,0.0380952380952381
ri,gi,16,0.0380952380952381
ja,gi,15,0.03571428571428571
ja,gye,15,0.03571428571428571
eu,geu,15,0.03571428571428571
sang,seong,15,0.03571428571428571
a,eo,14,0.03333333333333333
na,da,14,0.03333333333333333
sa,a,14,0.03333333333333333
jo,ro,14,0.03333333333333333
eui,eo,14,0.03333333333333333
eul,deul,13,0.030952380952380953
gyeong,jeok,13,0.030952380952380953
do,geu,13,0.030952380952380953
ri,choe,13,0.030952380952380953
hae,gye,13,0.030952380952380953
ja,gwa,13,0.030952380952380953
gi,eo,13,0.030952380952380953
eun,eul,13,0.030952380952380953
ja,ga,13,0.030952380952380953
jeong,seong,13,0.030952380952380953
gyeong,jeong,13,0.030952380952380953
jo,go,12,0.02857142857142857
jang,gyeong,12,0.02857142857142857
han,ha,12,0.02857142857142857
ju,gu,12,0.02857142857142857
jang,jeong,12,0.02857142857142857
si,sa,12,0.02857142857142857
gi,ji,12,0.02857142857142857
a,i,12,0.02857142857142857
yong,dong,12,0.02857142857142857
i,si,12,0.02857142857142857
gye,gi,11,0.02619047619047619
seo,eo,11,0.02619047619047619
ra,ga,11,0.02619047619047619
jeon,gyeong,11,0.02619047619047619
eun,eu,11,0.02619047619047619
bu,bo,11,0.02619047619047619
jeon,jeok,11,0.02619047619047619
jeon,yeon,10,0.023809523809523808
ri,gye,10,0.023809523809523808
guk,dong,10,0.023809523809523808
ji,eo,10,0.023809523809523808
seu,eu,10,0.023809523809523808
reul,eun,10,0.023809523809523808
deul,dong,10,0.023809523809523808
ha,da,10,0.023809523809523808
si,gi,9,0.02142857142857143
dong,gong,9,0.02142857142857143
gim,gyeong,9,0.02142857142857143
e,i,9,0.02142857142857143
jang,ja,9,0.02142857142857143
dae,e,9,0.02142857142857143
hae,e,9,0.02142857142857143
so,eu,9,0.02142857142857143
choe,ri,9,0.02142857142857143
wi,yeo,9,0.02142857142857143
seo,sa,9,0.02142857142857143
gwa,da,9,0.02142857142857143
jeon,jeong,9,0.02142857142857143
reul,eul,9,0.02142857142857143
jo,so,9,0.02142857142857143
wi,eo,9,0.02142857142857143
wi,gi,8,0.01904761904761905
eun,reul,8,0.01904761904761905
gi,eui,8,0.01904761904761905
reul,yong,8,0.01904761904761905
si,i,8,0.01904761904761905
geu,do,8,0.01904761904761905
seong,jeok,8,0.01904761904761905
seong,gyeong,8,0.01904761904761905
jeok,gyeong,8,0.01904761904761905
da,gwa,8,0.01904761904761905
han,in,8,0.01904761904761905
guk,gong,8,0.01904761904761905
da,ra,8,0.01904761904761905
ju,guk,8,0.01904761904761905
deul,eul,8,0.01904761904761905
seong,seo,8,0.01904761904761905
gyeong,geos,8,0.01904761904761905
ji,ja,8,0.01904761904761905
e,dae,7,0.016666666666666666
su,seu,7,0.016666666666666666
gong,go,7,0.016666666666666666
si,e,7,0.016666666666666666
won,yeon,7,0.016666666666666666
da,gu,7,0.016666666666666666
jeong,choe,7,0.016666666666666666
ji,choe,7,0.016666666666666666
hae,dae,7,0.016666666666666666
eul,eun,7,0.016666666666666666
gi,gye,7,0.016666666666666666
wi,e,7,0.016666666666666666
sang,sa,7,0.016666666666666666
jo,ju,7,0.016666666666666666
ri,gim,7,0.016666666666666666
seo,eui,7,0.016666666666666666
gwa,ga,7,0.016666666666666666
jang,ga,7,0.016666666666666666
ga,a,7,0.016666666666666666
ga,gye,7,0.016666666666666666
ha,a,6,0.014285714285714285
bu,na,6,0.014285714285714285
ga,gi,6,0.014285714285714285
a,e,6,0.014285714285714285
gwa,ra,6,0.014285714285714285
ri,dae,6,0.014285714285714285
na,bu,6,0.014285714285714285
ga,ja,6,0.014285714285714285
reul,dong,6,0.014285714285714285
ji,yeo,6,0.014285714285714285
bo,bu,6,0.014285714285714285
ga,gwa,6,0.014285714285714285
gu,ju,6,0.014285714285714285
ro,jo,6,0.014285714285714285
ri,ji,6,0.014285714285714285
je,e,6,0.014285714285714285
do,ro,6,0.014285714285714285
eo,a,6,0.014285714285714285
ro,go,6,0.014285714285714285
ja,je,6,0.014285714285714285
dae,yeo,6,0.014285714285714285
dae,da,6,0.014285714285714285
gong,reul,6,0.014285714285714285
jeong,gim,6,0.014285714285714285
sa,ha,6,0.014285714285714285
si,eo,5,0.011904761904761904
hwa,choe,5,0.011904761904761904
hwa,ha,5,0.011904761904761904
han,eul,5,0.011904761904761904
ju,jo,5,0.011904761904761904
hwa,gwa,5,0.011904761904761904
go,jo,5,0.011904761904761904
